Repeat,User,Accuracy,Precision,Recall,Specificity,F1,FAR,FRR,EER,AUC
7,U10,0.922839506172839,1,0.305555555555556,1,0.468085106382979,0,0.694444444444444,0.00173611111111111,0.999903549382716
8,U01,0.996913580246914,1,0.972222222222222,1,0.985915492957746,0,0.0277777777777778,0.00347222222222222,0.999807098765432
8,U02,1,1,1,1,1,0,0,0,1
8,U03,1,1,1,1,1,0,0,0,1
8,U04,0.996913580246914,1,0.972222222222222,1,0.985915492957746,0,0.0277777777777778,0.0277777777777778,0.998360339506173
8,U05,0.996913580246914,0.972972972972973,1,0.996527777777778,0.986301369863014,0.00347222222222222,0,0,1
8,U06,0.996913580246914,0.972972972972973,1,0.996527777777778,0.986301369863014,0.00347222222222222,0,0,1
8,U08,0.996913580246914,0.972972972972973,1,0.996527777777778,0.986301369863014,0.00347222222222222,0,0,1
8,U09,0.888888888888889,0.5,0.972222222222222,0.878472222222222,0.660377358490566,0.121527777777778,0.0277777777777778,0.0277777777777778,0.996431327160494
8,U10,0.891975308641975,1,0.0277777777777778,1,0.054054054054054,0,0.972222222222222,0.166666666666667,0.896701388888889
9,U01,1,1,1,1,1,0,0,0,1
9,U02,1,1,1,1,1,0,0,0,1
9,U03,1,1,1,1,1,0,0,0,1
9,U04,0.996913580246914,1,0.972222222222222,1,0.985915492957746,0,0.0277777777777778,0,1
9,U05,0.996913580246914,0.972972972972973,1,0.996527777777778,0.986301369863014,0.00347222222222222,0,0.00173611111111111,0.999807098765432
9,U06,1,1,1,1,1,0,0,0,1
9,U08,1,1,1,1,1,0,0,0,1
9,U09,0.932098765432099,0.620689655172414,1,0.923611111111111,0.765957446808511,0.0763888888888889,0,0.00694444444444444,0.999614197530864
9,U10,0.932098765432099,1,0.388888888888889,1,0.56,0,0.611111111111111,0,1
10,U01,0.996913580246914,1,0.972222222222222,1,0.985915492957746,0,0.0277777777777778,0.00173611111111111,0.999903549382716
10,U02,1,1,1,1,1,0,0,0,1
10,U03,1,1,1,1,1,0,0,0,1
10,U04,0.996913580246914,1,0.972222222222222,1,0.985915492957746,0,0.0277777777777778,0.0260416666666667,0.999324845679012
10,U05,0.996913580246914,0.972972972972973,1,0.996527777777778,0.986301369863014,0.00347222222222222,0,0.00173611111111111,0.999807098765432
10,U06,0.996913580246914,0.972972972972973,1,0.996527777777778,0.986301369863014,0.00347222222222222,0,0,1
10,U08,1,1,1,1,1,0,0,0,1
10,U09,0.938271604938272,0.642857142857143,1,0.930555555555556,0.782608695652174,0.0694444444444444,0,0.0277777777777778,0.997974537037037
10,U10,0.938271604938272,1,0.444444444444444,1,0.615384615384615,0,0.555555555555556,0,1
