Repeat,Rank,Feature,MRMRScore
3,86,56,9.85207948254116e-16
3,87,95,9.85207948254116e-16
3,88,86,9.79158664077538e-16
3,89,37,9.57546771703866e-16
3,90,100,9.2192374121431e-16
3,91,43,9.14083591133032e-16
3,92,25,9.11313891051819e-16
3,93,52,9.06326616425125e-16
3,94,83,8.99975312538811e-16
3,95,38,8.99138125670413e-16
3,96,126,8.7829158422349e-16
3,97,124,8.76068636724862e-16
3,98,70,8.73018035615054e-16
3,99,55,8.68929483834572e-16
3,100,82,8.68929483834572e-16
3,101,129,8.62129051129129e-16
3,102,103,8.61102935577909e-16
3,103,115,8.41769662805774e-16
3,104,108,8.41278804123982e-16
3,105,89,8.15966834992451e-16
3,106,85,7.95132892527454e-16
3,107,119,7.95132892527454e-16
3,108,71,7.41506423144549e-16
3,109,118,7.34225584745705e-16
3,110,104,7.10274947493106e-16
3,111,114,6.43494016127385e-16
3,112,117,6.25278848663232e-16
3,113,78,6.07964966432922e-16
3,114,125,5.90899321420007e-16
3,115,64,5.72743015421794e-16
3,116,109,5.39608746612385e-16
3,117,73,4.39581360021239e-16
3,118,65,3.10054386185186e-16
3,119,54,3.10054386185186e-16
3,120,57,3.03424037696549e-16
3,121,102,2.90406642776604e-16
3,122,84,1.02287994004806e-28
3,123,87,9.62951697940115e-29
3,124,91,9.62951697940115e-29
3,125,92,7.21994801851999e-29
3,126,110,0
3,127,111,0
3,128,112,0
3,129,120,0
3,130,121,0
3,131,131,0
4,1,40,1.50204361685323
4,2,106,0.776416465144077
4,3,42,0.752030183428904
4,4,76,0.447010120764545
4,5,91,0.0805962496536339
4,6,62,0.0805962496536339
4,7,96,0.0804749111585675
4,8,32,0.0758117544769502
4,9,74,0.0758117544769502
4,10,127,0.0576697603451192
4,11,69,0.0479901223095463
4,12,21,0.0478737386243583
4,13,45,0.0478737386243583
4,14,60,0.0438228898452768
4,15,30,0.0432483766167766
4,16,44,0.0407109281880607
4,17,80,0.0401169874784304
4,18,11,0.037674094744152
4,19,3,0.0372963320112966
4,20,13,0.0372963320112966
4,21,22,0.0362928248348057
4,22,15,0.0347709996514619
4,23,17,0.0323338890264196
4,24,34,0.0295934439612426
4,25,67,0.0271540764471902
4,26,49,0.0269078823199733
4,27,1,0.0263940333765173
4,28,10,0.0261360574265433
4,29,27,0.0255380288768075
4,30,61,0.0250051168761035
4,31,99,0.0239860485411378
4,32,26,0.0237927596315199
4,33,12,0.0232949988345845
4,34,72,0.0231116736514584
4,35,81,0.0223930284267415
4,36,6,0.022258495895092
4,37,2,0.022258495895092
4,38,24,0.0219368778122785
4,39,77,0.0219176155405482
4,40,37,0.0218504002030763
4,41,18,0.0218504002030763
4,42,70,0.0216010249108565
4,43,68,0.0209225049655731
4,44,28,0.0202674440023932
4,45,35,0.020196796955537
4,46,51,0.0197257926544417
4,47,66,0.0193292493052078
4,48,58,0.0193145858078262
4,49,88,0.0190987461480022
4,50,7,0.018609272217166
4,51,59,0.0185939529146574
4,52,75,0.0184423588897208
4,53,20,0.0181854449386147
4,54,36,0.0179792204605005
4,55,116,0.0174720595563858
4,56,46,0.0169185324112626
4,57,19,0.0166189424718299
4,58,97,0.0161256523914341
4,59,4,0.0159338285362622
4,60,8,0.0158887029308284
4,61,41,0.0157564314669808
4,62,14,0.015710484506123
4,63,47,0.0155261801054134
4,64,33,0.0152064039932243
4,65,25,0.0151762274429742
4,66,38,0.0149984914997764
4,67,122,0.0148870679446062
4,68,93,0.0148790160850459
4,69,63,0.0147775178988139
4,70,5,0.0146579292424571
4,71,128,0.0146431118803393
4,72,107,0.0142876159185011
4,73,31,0.0142633037750955
4,74,48,0.0137569690521098
4,75,56,0.0136651634429805
4,76,94,0.0136651634429805
4,77,50,0.0135881464109942
4,78,98,0.0135066065082459
4,79,113,0.013444414325616
4,80,101,0.0132814272597363
4,81,123,0.0131217271979098
4,82,16,0.0130155985327965
4,83,53,0.013008349980066
4,84,105,0.0126670471450979
4,85,9,0.012572453969182
4,86,57,0.0123082025476551
4,87,83,0.0123082025476551
4,88,39,0.0122098215089221
4,89,100,0.012098446192683
4,90,52,0.0118330038729314
4,91,95,0.0118222796254353
